latitude,longitude,location_area,number_of_rooms,area,rent,floor,has_elevator,has_fireplace,has_outside,sold_price,adress
59.34130019,18.03104845,Vasastan,3,87,"4,605",,no,yes,no,10100000,Tomtebogatan 27
59.34160637,18.03042072,Vasastan,1,34,"1,335",1,no,,,4050000,Tomtebogatan 28
59.34160637,18.03042072,Vasastan,1,36,"1,404",2,yes,,,3900000,Tomtebogatan 28
59.34167778,18.03016919,Vasastan,2,37,"1,789",3,yes,no,no,4700000,Tomtebogatan 28A
59.34167778,18.03016919,Vasastan,2,59,"1,911",,yes,,yes,5700000,Tomtebogatan 28A
59.34167778,18.03016919,Vasastan,2,59,"1,984",,no,,yes,5700000,Tomtebogatan 28A
59.34143501,18.03039915,Vasastan,3,67,,,no,,,8625000,Tomtebogatan 29
59.34121334,18.03702466,Vasastan,2,38,"1,232",1,yes,no,yes,4900000,Tomtebogatan 3
59.34121334,18.03702466,Vasastan,2,39,"1,291",3,yes,,,5500000,Tomtebogatan 3
59.34121334,18.03702466,Vasastan,2,37,"1,255",5,yes,no,no,4650000,Tomtebogatan 3
59.34176146,18.02987215,Vasastan,2.5,76,"3,635",2,yes,yes,no,10000000,Tomtebogatan 30
59.34176146,18.02987215,Vasastan,3,65,"3,109",4,yes,,yes,7850000,Tomtebogatan 30
59.34176146,18.02987215,Vasastan,3,78,"3,635",4,yes,,,9300000,Tomtebogatan 30
59.34151499,18.03002225,Vasastan,1,28,"1,494",1,yes,no,no,3820000,Tomtebogatan 31
59.34151499,18.03002225,Vasastan,2,46,"1,860",6,yes,yes,yes,7250000,Tomtebogatan 31
59.34136333,18.02981555,Vasastan,2,37,"1,598",1,yes,no,no,4350000,Tomtebogatan 31A
59.3418534,18.02954502,Vasastan,3,83,"5,527",3,yes,,,9300000,Tomtebogatan 32
59.34209063,18.0298522,Vasastan,3,56,"3,919",0,yes,no,yes,6100000,Tomtebogatan 32A
59.34140755,18.02961777,Vasastan,2.5,50,"2,670",0,yes,,,5600000,Tomtebogatan 33A
59.3419483,18.02920788,Vasastan,1,29.5,"1,685",1.5,no,no,no,3750000,Tomtebogatan 34C
59.3419483,18.02920788,Vasastan,1,34,"1,758",2,yes,no,no,3800000,Tomtebogatan 34C
59.3419483,18.02920788,Vasastan,1,27.5,"1,726",5,yes,no,no,3320000,Tomtebogatan 34C
59.3419483,18.02920788,Vasastan,3,73,"3,917",5,yes,no,yes,9850000,Tomtebogatan 34C
59.3419483,18.02920788,Vasastan,2,57,"2,643",,no,no,no,6325000,Tomtebogatan 34C
59.3419483,18.02920788,Vasastan,2,73,,,no,,,9350000,Tomtebogatan 34C
59.34219773,18.0294662,Vasastan,1,39,"2,071",1,no,no,yes,4700000,Tomtebogatan 34E
59.34219773,18.0294662,Vasastan,1.5,39,"2,095",2,yes,,yes,4775000,Tomtebogatan 34E
59.34219773,18.0294662,Vasastan,2,63.7,"3,126",2,no,yes,yes,7075000,Tomtebogatan 34E
59.34219773,18.0294662,Vasastan,2,61,"2,876",,no,,,6100000,Tomtebogatan 34E
59.34167052,18.02946944,Vasastan,3,74,"4,286",3,yes,yes,yes,10000000,Tomtebogatan 35
59.34167052,18.02946944,Vasastan,2,56,"3,348",4,yes,yes,,6500000,Tomtebogatan 35
59.34167052,18.02946944,Vasastan,1,33,"2,157",5,yes,yes,,4230000,Tomtebogatan 35
59.34204006,18.028882,Vasastan,3,77,"3,492",4,yes,yes,yes,10150000,Tomtebogatan 36
59.34204006,18.028882,Vasastan,2,59.5,"3,114",5,yes,no,yes,7200000,Tomtebogatan 36
59.34174812,18.029194,Vasastan,3,83,"4,354",2,yes,,yes,11100000,Tomtebogatan 37
59.34174812,18.029194,Vasastan,3,83,"4,440",3,yes,,yes,10750000,Tomtebogatan 37
59.34151998,18.02903374,Vasastan,2,54,,2,no,,,7510000,Tomtebogatan 37A
59.34151998,18.02903374,Vasastan,2,54,"2,966",4,yes,,yes,7430000,Tomtebogatan 37A
59.34151998,18.02903374,Vasastan,2,54,"3,019",,yes,,yes,5995000,Tomtebogatan 37A
59.34183431,18.02888763,Vasastan,3,84,"4,065",1,yes,,yes,10000000,Tomtebogatan 39
59.34183431,18.02888763,Vasastan,3,74,"3,958",4,yes,no,yes,10500000,Tomtebogatan 39
59.34162063,18.02869485,Vasastan,3,80,"3,501",0,no,,,8650000,Tomtebogatan 39A
59.34121931,18.03671852,Vasastan,1,18,645,2,yes,no,yes,2800000,Tomtebogatan 3A
59.34121931,18.03671852,Vasastan,2,39,"1,263",3,yes,,,4695000,Tomtebogatan 3A
59.34121931,18.03671852,Vasastan,2,40,"1,349",3,yes,no,yes,5150000,Tomtebogatan 3A
59.34121931,18.03671852,Vasastan,1,38,,4,no,,,5500000,Tomtebogatan 3A
59.34219846,18.02831898,Vasastan,2,36,"2,018",2,yes,,yes,4500000,Tomtebogatan 40
59.3423634,18.0277324,Vasastan,2,30,"1,356",1,yes,yes,yes,4230000,Tomtebogatan 44
59.3423634,18.0277324,Vasastan,3,64,"2,823",3,yes,yes,no,7350000,Tomtebogatan 44
59.3423634,18.0277324,Vasastan,2,63,"2,823",4,yes,yes,yes,7000000,Tomtebogatan 44
59.3423634,18.0277324,Vasastan,3,64,"2,823",4,yes,no,no,8000000,Tomtebogatan 44
59.3423634,18.0277324,Vasastan,2,57,"2,557",5,yes,no,yes,7100000,Tomtebogatan 44
59.34244243,18.02745186,Vasastan,2,45,"3,635",1,yes,no,no,5000000,Tomtebogatan 46
59.34244243,18.02745186,Vasastan,2,36,"3,023",3,yes,,,4150000,Tomtebogatan 46
